Timeseries,WaterLevel,Capacity,Delta,Interval,FreeSpillway.FS1.edc4d650-578c-4acf-8c8c-7f0f4f672462,GatedSpillway.GS1.ccb4bb68-1a7e-4e73-a5a3-178763e09e7e,CircularCulvert.CC1.8dff0bb6-d821-46ee-adb0-48bab2fe54c5,CircularCulvertV2.CC2.f06e69a8-1417-47ce-a620-7afd4a384f4f,BoxCulvert.BC1.2aa5c0eb-b285-486f-aa1d-62816ab316fe,Pump.P1.5b8e3e58-f4e2-43c7-9ac6-c531abe4e4ce,Unknown.U1.3c240cde-0cad-4ae9-86a2-c97e43d32415,Inflow,Outflow
2022-10-05,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.05996588795513594,0.0,0.0,4.23844869644072,4.23844869644072
2022-10-06,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.1520459202549094,0.25,0.25,4.830528728740494,4.830528728740494
2022-10-07,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,1.0250041626584057,0.0,0.0,5.20348697114399,5.20348697114399
2022-10-08,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.5607540986000618,23.04,23.04,50.819236907085646,50.819236907085646
2022-10-09,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,1.0495604840257127,0.0,0.0,5.2280432925112965,5.2280432925112965
2022-10-10,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.7176422480314889,0.0,0.0,4.896125056517073,4.896125056517073
2022-10-11,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.4877664305025213,3.31,3.31,11.286249238988106,11.286249238988106
2022-10-12,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.0770190258445472,0.0,0.0,4.255501834330131,4.255501834330131
2022-10-13,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.18563626753387721,0.0,0.0,4.3641190760194615,4.3641190760194615
2022-10-14,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.1051228004300131,0.0,0.0,4.283605608915597,4.283605608915597
2022-10-15,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.3030146441899628,0.0,0.0,4.481497452675547,4.481497452675547
2022-10-16,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.057395958950136994,0.0,0.0,4.235878767435721,4.235878767435721
2022-10-17,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.19025022907614844,0.0,0.0,4.368733037561732,4.368733037561732
2022-10-18,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.3499348988526025,84.19,84.19,172.90841770733817,172.90841770733817
2022-10-19,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.5490980678550315,36.9,36.9,78.52758087634061,78.52758087634061
2022-10-20,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.24962381449299045,13.99,13.99,32.40810662297857,32.40810662297857
2022-10-21,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.5474007885599084,0.0,0.0,4.725883597045493,4.725883597045493
2022-10-22,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.029118758296446376,0.0,0.0,4.207601566782031,4.207601566782031
2022-10-23,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,1.0635180915555382,0.0,0.0,5.2420009000411225,5.2420009000411225
2022-10-24,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.35154163050701576,0.0,0.0,4.5300244389926,4.5300244389926
2022-10-25,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.4258238723645562,0.51,0.51,5.62430668085014,5.62430668085014
2022-10-26,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.03624916673535182,16.43,16.43,37.074731975220935,37.074731975220935
2022-10-27,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.29127396270140593,21.99,21.99,48.44975677118698,48.44975677118698
2022-10-28,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.6570458530133613,0.25,0.25,5.3355286614989454,5.3355286614989454
2022-10-29,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.8572100461195156,0.0,0.0,5.0356928546051,5.0356928546051
2022-10-30,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,1.0297862401083677,0.0,0.0,5.208269048593952,5.208269048593952
2022-10-31,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.4618548520501836,0.0,0.0,4.640337660535768,4.640337660535768
2022-11-01,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.5473768834939621,10.48,10.48,25.685859691979545,25.685859691979548
2022-11-02,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.4232750722217768,13.23,13.23,31.06175788070736,31.06175788070736
2022-11-03,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.5132500718831131,0.0,0.0,4.691732880368697,4.691732880368697
2022-11-04,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.8084261740209656,0.25,0.25,5.48690898250655,5.48690898250655
2022-11-05,109.29,2.528,-0.0019999999999997797,86400,0.0,0.0,4.0435003845678095,0.1317424230354631,1.035754003935943,0.0,0.0,5.18784866339107,5.210996811539215
2022-11-06,109.28,2.525,-0.0030000000000001137,86400,0.0,0.0,4.040354915103376,0.1316453751968519,0.37564754912661863,0.0,0.0,4.512925617204623,4.547647839426847
2022-11-07,109.27,2.522,-0.0030000000000001137,86400,0.0,0.0,4.037206994940932,0.13154825576260948,0.7270098105782387,0.0,0.0,4.861042839059556,4.8957650612817805
2022-11-08,109.26,2.519,-0.0029999999999996696,86400,0.0,0.0,4.034056618343379,0.13145106457404582,0.4424018220400735,3.05,3.05,10.673187282735281,10.707909504957499
2022-11-09,109.25,2.517,-0.002000000000000224,86400,0.0,0.0,4.030903779551182,0.13135380147188339,0.7344870391551983,0.0,0.0,4.873596472030114,4.896744620178264
2022-11-10,109.23,2.511,-0.005999999999999783,86400,0.0,0.0,4.024590692231945,0.1311590588867006,0.4615104311305298,0.0,0.0,4.547815737804734,4.617260182249176
2022-11-11,109.2,2.503,-0.008000000000000007,86400,0.0,0.0,4.01510244950238,0.13086640164091026,0.2807269256953832,0.0,0.0,4.33410318424608,4.426695776838673
2022-11-12,109.18,2.498,-0.004999999999999893,86400,0.0,0.0,4.008764477990696,0.13067093267199895,0.2518016531446196,4.07,4.07,12.473366693436942,12.531237063807314
2022-11-13,109.16,2.492,-0.006000000000000227,86400,0.0,0.0,4.002416470084041,0.1304751708651883,0.6257550211421284,0.25,0.25,5.189202217646911,5.258646662091358
2022-11-14,109.13,2.484,-0.008000000000000007,86400,0.0,0.0,3.9928755352502527,0.13018097619350966,0.49447618814151917,0.0,0.0,4.5249401069926884,4.617532699585281
2022-11-15,109.1,2.476,-0.008000000000000007,86400,0.0,0.0,3.9833117477797275,0.1298861151666727,0.5673192317901034,0.0,0.0,4.587924502143911,4.680517094736503
2022-11-16,109.07,2.468,-0.008000000000000007,86400,0.0,0.0,3.9737249426702888,0.12959058323614878,0.23676070946582878,0.0,0.0,4.247483642779674,4.340076235372266
2022-11-17,109.04,2.46,-0.008000000000000007,86400,0.0,0.0,3.9641149529245516,0.12929437580142566,0.049598931487961226,0.0,0.0,4.050415667621346,4.143008260213938
2022-11-18,109.02,2.454,-0.005999999999999783,86400,0.0,0.0,3.9576953293552033,0.12909652660242368,0.5690697499741076,0.0,0.0,4.586417161487293,4.655861605931735
2022-11-19,109.0,2.449,-0.0050000000000003375,86400,0.0,0.0,3.9512652758325406,0.12889837372030855,0.9151372494777563,0.25,0.25,5.437430528660231,5.495300899030606
2022-11-20,108.99,2.446,-0.0029999999999996696,86400,0.0,0.0,3.948046321916701,0.12879918296016218,0.959664977621963,0.76,0.76,6.521788260276608,6.556510482498826
2022-11-21,108.98,2.444,-0.002000000000000224,86400,0.0,0.0,3.9448247413541724,0.12869991575238257,0.598761404685823,0.0,0.0,4.6491379136442275,4.672286061792378
2022-11-22,108.96,2.438,-0.005999999999999783,86400,0.0,0.0,3.93837367450068,0.1285011512851164,0.7220226455657355,0.51,0.51,5.73945302690709,5.808897471351532
2022-11-23,108.95,2.436,-0.002000000000000224,86400,0.0,0.0,3.935144175249493,0.12840165366951242,0.930290325101175,0.25,0.25,5.470688005872029,5.49383615402018
2022-11-24,108.94,2.433,-0.0030000000000001137,86400,0.0,0.0,3.931912023430839,0.128302078894032,0.8256679873764873,2.54,2.54,9.931159867479137,9.96588208970136
2022-11-25,108.93,2.43,-0.0029999999999996696,86400,0.0,0.0,3.928677212497868,0.1282024267788853,0.08055913142840596,0.0,0.0,4.102716548482941,4.13743877070516
2022-11-26,108.91,2.425,-0.0050000000000003375,86400,0.0,0.0,3.9221995869664763,0.12800288980693153,0.06827430709866238,0.0,0.0,4.060606413501697,4.118476783872071
2022-11-27,108.88,2.417,-0.008000000000000007,86400,0.0,0.0,3.9124630400810165,0.12770299976633478,0.6030165287019188,0.0,0.0,4.550589975956678,4.64318256854927
2022-11-28,108.87,2.414,-0.0029999999999996696,86400,0.0,0.0,3.909212135456455,0.1276028797981673,0.7009998239211874,0.0,0.0,4.703092616953591,4.73781483917581
2022-11-29,108.85,2.409,-0.0050000000000003375,86400,0.0,0.0,3.902702202320847,0.1274024038223594,0.19852431607802826,0.0,0.0,4.17075855185086,4.228628922221235
2022-11-30,108.83,2.403,-0.005999999999999783,86400,0.0,0.0,3.896181392081226,0.12720161188697876,0.2063832697504593,0.0,0.0,4.1603218292742215,4.229766273718663
2022-12-01,108.81,2.397,-0.006000000000000227,86400,0.0,0.0,3.8896496500327644,0.12700050249339812,0.9885901124360805,0.0,0.0,4.935795820517796,5.005240264962243
2022-12-02,108.79,2.392,-0.004999999999999893,86400,0.0,0.0,3.8831069210105484,0.12679907413110578,0.4191818986454849,0.25,0.25,4.871217523416771,4.929087893787139
2022-12-03,108.77,2.387,-0.004999999999999893,86400,0.0,0.0,3.8765531493841268,0.12659732527757314,0.712739953083102,4.58,4.58,13.81802005737443,13.875890427744801
2022-12-04,108.76,2.384,-0.0030000000000001137,86400,0.0,0.0,3.873272105081183,0.1264963301874829,0.8391764038283834,6.87,6.87,18.54422261687483,18.57894483909705
2022-12-05,108.74,2.379,-0.004999999999999893,86400,0.0,0.0,3.866701664209432,0.12629409771573138,0.6796876916277081,0.0,0.0,4.614813083182502,4.672683453552871
2022-12-06,108.72,2.373,-0.005999999999999783,86400,0.0,0.0,3.8601200395842614,0.126091540892959,0.5002378487498634,0.0,0.0,4.4170049847826425,4.486449429227084
